Timestamp	Názov politickej strany	Bezpečnostný kód	Meno osoby, ktorá dotazník vypĺňa	1. Mali by byť sprísnené spoločné právne predpisy EÚ na ochranu údajov.	Prípadný komentár k otázke 1:	2. V EÚ by sa mala zaviesť minimálna mzda, naviazaná na priemerný plat v jednotlivých štátoch EÚ.	Prípadný komentár k otázke 2:	3. Európsky parlament by mal mať právomoc iniciovať zákon bez nutnosti oslovenia Európskej komisie.	Prípadný komentár k otázke 3:	4. EÚ by mala vymedziť striktnejšie ciele k regulácií CO2.	Prípadný komentár k otázke 4:	5. Štáty EÚ by mali mať zakázané dotovať jadrovú energetiku.	Prípadný komentár k otázke 5:	6. Malo by byť povolené pestovať geneticky upravené plodiny v celej EÚ.	Prípadný komentár k otázke 6:	7. Dovozné clá na poľnohospodárske produkty z rozvojových krajín by mali byť znížené.	Případný komentář k otázce 7:	8. Predseda Európskej komisie by mal byť volený v priamých voľbách občanmi EÚ.	Prípadný komentár k otázke 8:	9. Mala by byť zavedená minimálna sadzba pre dane z príjmov u firiem v celej EÚ.	Prípadný komentár k otázke 9:	10. Mala by sa znížiť finančná pomoc ekonomicky slabším regiónom EÚ.	Prípadný komentár k otázke 10:	11. EÚ by mala zastaviť prijímanie ďalších krajín.	Prípadný komentár k otázke 11:	12. EÚ by mala zaviesť daň z finančných transakcií ("tzv. Tobinovu daň")	Prípadný komentár k otázke 12:	13. EÚ by mala mať vlastnú armádu.	Prípadný komentár k otázke 13:	14. Európsky parlament by mal mať možnosť odvolať jednotlivých európskych komisárov.	Prípadný komentár k otázke 14:	15. Viac oblastí zahraničnej politiky by malo byť rozhodovaných na úrovni EÚ.	Prípadný komentár k otázke 15:	16. EÚ by mala zvýšiť prostriedky na zahraničnú pomoc.	Prípadný komentár k otázke 16:	17. Mali by byť zavedené spoločné európske dlhopisy pre krajiny eurozóny.	Prípadný komentár k otázke 17:	18. Členské štáty musia uznať sobáše osôb ronakého pohlavia, ktoré sú uzavreté v inej členskej krajine EÚ.	Prípadný komentár k otázke 18:	19. Podmienky pre udelenie azylu by mali byť rovnaké vo všetkých členských štátoch EÚ.	Prípadný komentár k otázke 19:	20. EÚ by mala vyberať európske dane, ktoré by nahradili existujúce príspevky členských štátov.	Prípadný komentár k otázke 20:	22. EÚ by sa mala stať federáciou.	Prípadný komentár k otázke 22:	23. Zloženie Európskej komisie by malo zodpovedať výsledkom eurovolieb.	Prípadný komentár k otázke 23:	24. Mala by byť možnosť vypísania celoeurópskeho referenda na základe petície.	Prípadný komentár k otázke 24:	25. Letný čas by mal byť zrušený.	Prípadný komentár k otázke 25:	26. Tovar zakúpený v EÚ by malo byť možné reklamovať u rovnakej firmy v akejkoľvek krajine EÚ.	Prípadný komentár k otázke 26:	27. Živnostenský list by mal stačiť na výkon daného remesla či podnikania po celej EÚ.	Prípadný komentár k otázke 27:	28. Erasmus by mal byť rozšírený aj na stredné školy.	Prípadný komentár k otázke 28:	29. Sadzby DPH by mali byť zjednotené v celej EÚ.	Prípadný komentár k otázke 29:	30. Registrácia auta by mala platiť v celej EÚ.	Prípadný komentár k otázke 30:	31. Zmluva o "Transatlantickom partnerstve pre obchod a investície" (TTIP) medzi EÚ a USA by mala byť schválená.	Prípadný komentár k otázke 31:	32. Mala by existovať špeciálna diaľničná známka (alebo podobný systém) platná v celej EÚ.	Prípadný komentár k otázke 32:	33. Predaj žiaroviek nad 60W by mal byť opäť povolený.	Prípadný komentár k otázke 33:	34. Polícia EÚ by sa mala zväčšiť.	Prípadný komentár k otázke 34:	35. Dotovanie poľnohospodárov z peňazí EÚ by sa malo znížiť.	Prípadný komentár k otázke 35:	36. Letecké spoločnosti by mali ďalej posielať údaje o cestujúcich do USA.	Prípadný komentár k otázke 36:	37. Lehota ochrany autorských diel by sa mala v EÚ skrátiť.	Prípadný komentár k otázke 37:	38. Krajiny EÚ by mali mať možnosť obmedziť zamestnávanie občanov z iných krajín EÚ.	Prípadný komentár k otázke 38:	40. EÚ by mala prestať určovať podrobné normy pre potraviny.	Prípadný komentár k otázke 40:	42. Slovenská republika by sa malo vrátiť ku slovenskej korune.	Prípadný komentár k otázke 42:	43. Slovensko by malo vystúpiť z EÚ.	Prípadný komentár k otázke 43:	Ak získame vo voľbách mandát, naši poslanci sa stanú členom skupiny v EP:	Prípadný komentár k politickej skupine.
4/16/2014 2:39:53	Test	123456	Michal Škop	Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Iná odpoveď	Test
4/16/2014 10:39:46	EDS	871785	Antonio Parziale	Áno		Áno	EÚ musí priniesť rovnosť.	Áno	Už je potrebné iné pravidlo: EÚ pre občanov.	Áno		Áno	Treba podporovať obnoviteľné zdroje.	Nie		Nie	Treba zachrániť národnú úrodu.	Áno		Áno		Nie		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Nie		Áno		Nie		Nie		Áno		Áno		Nie	EÚ nemôže zastaviť drobnú tradičnú lokálnu výrobu.	Nie		Nie		Aliancia liberálov a demokratov za Európu (ALDE)	
4/16/2014 13:57:02	most-híd	670014	Jozef Lohyňa	Áno		Áno		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Nie		Nie		Áno		Nie		Áno		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Nie		Nie		Áno		Áno		Áno		Áno		Áno		Nie		Áno		Nie		Nie		Áno		Áno		Nevieme / nemáme jednoznačný názor		Nevieme / nemáme jednoznačný názor		Áno		Áno		Nie		Nie		Áno		Áno		Nie		Áno		Nie		Nie		Európska ľudová strana (EPP)	
4/16/2014 15:50:28	NOVA, KDS, OKS	718472	Martin Barto	Áno	Mali by byť sprísnená ochrana občanov pred zbieraním týchto údajov a ich využívaním najmä štátnymi orgánmi.	Nie	Minimálna mzda poškodzuje ekonomiku a znižuje zamestnanosť. V Únii je nezamestnanosť veľmi vážny problém, zavedenie minimálnej mzdy tento problém zhorší.	Nie	Ak by mal EP právomoc iniciovať zákony sám, urobil by sa ďalší krok na ceste budovania európskeho nadnárodného štátu, ktorý však zatiaľ verejnosť nekaceptuje.	Nie	energetická politika EÚ spôsobuje vysoké ceny energií a pokles konkurenčnej schopnosti štátov, najmä nových. Pri súčasnom nízkom raste si Únia nemôže dovoliť byť lídrom v znižovaní emisií oxidu uhličitého.	Áno	Vo všeobecnosti dotácie krivia trh, najmä energetický.	Áno	GMO sa do Európy dostávajú tak či tak a nemá zmysel sa voči ním vymedzovať, poškodzuje to našu konkurencieschopnosť.	Áno	Voľný trh bez obmedzení je to čo podporuje rozvoj štátov a ich občanov. Pevnosť Európa nebudeme môcť brániť donekonečna - aspoň nie pri tokoch tovarov a služieb.	Nie		Nie	Veľmi škodlivý nápad.	Áno	Efektívnosť využitia týchto zdrojov je veľmi otázna. S ich využívaním sa spája korupcia a plytvanie.	Áno		Nie	Daň ničomu nezabráni len poškodí Úniu a jej konkurencieschopnosť. Je to čisto ideologický konštrukt.	Nie	Túto úlohu v Európe má NATO.	Nie	Pokiaľ EP nebude skutočný parlament tak by nemal mať takúto moc.	Nie	EÚ nie je štát, prevladajú tu záujmy jednotlivých ČS, ktoré sa v mnohých otázkach líšia.	Nie	Existuje mnoho negatívnych pripadov jej priameho zneužívania.	Nie	Je to otázka morálneho hazardu ale aj vyššej ceny pre štáty, ktoré uskutočňujú rozumnú a zodpovednú fiškálnu politiku.	Nie	To sú otázky, ktoré sú v komptencii ČŠ.	Nie	Azylová politika má ostať v rukách ČŠ.	Nie		Nie		Nie	Zatiaľ na to nedozrela vôľa občanov ČŠ.	Nie		Áno	Je to nezmyselný pozostatok 70. rokov u nás.	Áno	Jednotný trh by to mal umožniť.	Áno	Voľný pohyb osôb by to mal umožniť.	Nevieme / nemáme jednoznačný názor	Úroveň detí na stredných školách sa veľmi líši.	Nie	Táto komptencia má ostať v rukách ČŠ, vzhľadom na odlišné podmienky.	Áno		Áno	Benefity pre Európu prevyšujú nevýhody.	Nevieme / nemáme jednoznačný názor		Áno	Ak vzniká dojem, že sa plýtva energiou, potom ceny energií nie sú správne nastavené, no nemá to nič do činenia so spotrebičmi.	Nie		Áno		Nevieme / nemáme jednoznačný názor		Áno	Otázku autorských práv treba riešiť tak, aby to nepoškodzovalo občanov a nevytváralo privilegovanú kastu ľudí s nadprávami.	Nie	Je to základná sloboda v EÚ.	Áno		Nie	Euro pomohlo stabilizovať slovenskú ekonomiku v čase krízy.	Nie		Európski konzervatívci a reformisti (ECR)	
4/16/2014 19:50:06	NOVA	718472	Juraj Droba	Áno	Súčasná úroveň celkovej ochrany súkromia (t.j. aj osobných údajov) je katastrofálna a som za jej zlepšenie.	Nie		Nie		Nie		Áno		Nie		Áno		Áno		Nie		Áno		Nie	Island vnímam ako úplne bezproblémového kandidáta na členstvo v EÚ, ostatné krajiny by si mali ponechať európsku perspektívu pri splnení všetkých podmienok a členstvo Turecka vnímam vďaka porušovaniu ľudských práv, búraniu sekularizmu a islamizácii krajiny za v súčasnosti nevhodné.	Nie		Nie	NATO vnímam ako dostatočného garanta európskej a tým pádom aj našej bezpečnosti. Ak by malo dôjsť k vytvoreniu vlastnej armády, najprv by sa o nej desať rokov rokovalo a potom by sa projekt ďalších desať rokov realizoval. Nemám dôveru v bojaschopnosť Európy bez transatlantického spojenca.	Áno		Nie		Nie		Nie		Nie	Som rozhodným zástancom registrovaných partnerstiev osôb rovnakého pohlavia, avšak ako mnoho iných opatrení nesmú byť nanútené diktátom z Bruselu. Každý štát by mal mať kompetenciu o nich rozhodovať na národnej úrovni.	Nie		Nie		Nie		Áno		Nie		Nie	Rušenie letného času je pre mňa predmetom ekonomickej analýzy nákladov a benefitov. Ničoho iného, rozhodne nie politiky.	Nie	Hoc by bolo toto opatrenie prozákaznícky orientované a oceňujem jeho existenciu napr. v USA, neviem si celkom dobre predstaviť jeho fungovanie v EÚ a zároveň si myslím, že by viacerým firmám mohlo spôsobiť vážne logistické problémy. Navyše množstvo globálnych firiem s dobrou reputáciou takýto servis poskytuje aj bez vynútenej európskej regulácie.	Áno		Áno		Nie		Áno		Áno		Áno	Jej implementácia by bola dosť komplikovaná, zároveň si ale myslím, že tranzitné krajiny ako Slovinsko by mali prestať zneužívať svoju geografickú polohu na "vypaľovanie" turistov enormne vysokými sadzbami. To isté platí napríklad pre Francúzsko a čiastočne Taliansko, kde výber mýta doslova obťažuje ľudí. Zaujímalo by ma, ako by sa všetci tvárili, keby mýto zaviedlo napríklad Nemecko.	Áno		Nie		Áno	V ideálnom svete by sa malo úplne zrušiť a rozpočet EÚ by klesol takmer o polovicu.	Nie		Nevieme / nemáme jednoznačný názor		Nie		Áno		Nie		Nie		Európski konzervatívci a reformisti (ECR)	EPP je dnes eurohujerským molochom a ALDE sa stáva stále viac ľavicová, navyše je vedená do volieb Guy Verhofstadom, snáď najzanietenejším eurofederalistom, akého som kedy naživo stretol. Hodnoty ECR sú krásne zosumarizované v Pražskej deklarácii a viem sa pod ne do bodky podpísať. Viac ako konzervativizmus z nich razí zdravý rozum a ekonomický liberalizmus.
4/17/2014 7:45:20	At együttmüködés pártja- strana spolupráce	670014	Ing. JUDr. Irén Sárközy	Áno		Nie		Áno		Nevieme / nemáme jednoznačný názor		Nevieme / nemáme jednoznačný názor		Nie		Áno		Nie		Nie		Nie		Nie		Nie		Nie		Áno		Áno		Áno		Áno		Nie		Nevieme / nemáme jednoznačný názor		Nie		Nie		Nie		Nie		Nevieme / nemáme jednoznačný názor		Áno		Nie		Áno		Nie		Áno		Nevieme / nemáme jednoznačný názor		Nie		Nie		Áno		Áno		Nie		Áno		Nie		Nie		Nie		Nie		Európska ľudová strana (EPP)	
4/22/2014 8:11:49	Strana demokratického Slovenska	161589	Sergej Kozlík	Áno		Nie		Nie		Nie		Áno		Nie		Nie		Nie		Áno		Nie		Nie		Nie		Áno		Nie		Áno		Nie		Nie		Nie		Nie		Áno		Nie		Nie		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Nie		Nie		Nie		Nevieme / nemáme jednoznačný názor		Nie		Nie		Nie		Nie		Aliancia liberálov a demokratov za Európu (ALDE)	
4/22/2014 12:27:02	Most-Híd	670014	Vladimír Vágási	Áno		Áno		Áno		Áno		Áno		Nie		Nevieme / nemáme jednoznačný názor		Nie		Áno		Nie		Nie		Nevieme / nemáme jednoznačný názor		Nie		Nie		Áno		Áno		Nevieme / nemáme jednoznačný názor		Nie		Áno		Nevieme / nemáme jednoznačný názor		Nevieme / nemáme jednoznačný názor		Nie		Nie		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Áno		Nevieme / nemáme jednoznačný názor		Nevieme / nemáme jednoznačný názor		Áno		Nie		Nie		Nie		Áno		Nie		Áno		Nie		Nie		Európska ľudová strana (EPP)	
4/22/2014 20:01:10	Vzdor- strana práce 	520303	Mgr. Miroslav Pomajdík 	Áno		Áno		Áno		Áno		Nie		Nie		Nie		Nie		Áno		Nie		Nie		Áno		Nie		Áno		Nie		Nie		Áno		Áno		Nie		Nie		Nie		Áno		Áno		Nie		Áno		Áno		Áno		Nie		Áno		Nie		Áno		Nie		Nie		Nie		Nie		Áno		Áno		Áno		Áno		Áno		Európska zjednotená ľavica - Severská zelená ľavica (GUE-NGL)	
4/24/2014 15:36:20	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	309690	Martina Bagarová	Áno		Áno		Áno		Áno		Áno		Nie		Nie		Áno		Áno		Nie		Nie		Áno		Nie		Áno		Áno		Nie		Nie		Nie		Nie		Nie		Nie		Nie		Áno		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Nie		Áno		Nie		Áno		Áno		Nie		Nie		Nie		Nie		Nie		Áno		Nie		Nie		Nezaradení (NI)	
5/7/2014 16:25:24	Sloboda a Solidarita	Sloboda a Solidarita	Sloboda a Solidarita	Nevieme / nemáme jednoznačný názor	Ako ktoré. Záleží na povahe osobných údajov a hlavne nástrojov, akými sa majú chrániť, aby sa tým naplnil účel bez nadmerného zaťaženia podnikateľov. 	Nie		Nie	Nie, pokiaľ by túto zákonodarnú iniciatívu mala súbežne s EP aj Európska komisia. 	Nie	Pokiaľ táto politika nebude koordinovaná s takými znečisťovateľmi ako Čína, USA, India, sprísňovanie environmentálnych obmedzení zo strany EÚ vedie k poškodzovaniu európskeho priemyslu.	Áno		Áno	Niekedy až hysterický odpor voči všetkému, čo je geneticky modifikované, je často motivovaný skôr snahou vyšachovať z trhu konkurenciu, teda akousi modernou obdobou starého protekcionizmu. Plodiny i potraviny, ako ich poznáme dnes, sú v podstate výsledkom genetických modifikácií, ktoré na nich vykonávali celé generácie našich predkov.	Áno		Nie		Nie	Sme proti akejkoľvek harmonizácii, ktorá obmedzí zvrchovanosť členských štátov EÚ v určovaní miery daňového a odvodového zaťaženia. 	Nevieme / nemáme jednoznačný názor	Problém nie je v mechanickom znižovaní alebo zvyšovaní pomoci, ale v jej efektívnom využití bez plytvania a korupcie.	Nie		Nie		Nie	Základom bezpečnostnej politiky EÚ má zostať NATO. Únia by mala disponovať len jednotkami pre nasadzovanie v humanitárnych operáciách.  	Áno	Áno, ale Európska komisia by sa musela kreovať na iných princípoch, keď v tejto veci má v súčasnosti silnú právomoc Rada EÚ.  	Nie		Nie		Nie		Nie	Podľa nášho názoru by táto otázka mala byť vo výlučnej kompetencii členských štátov Únie, pretože vynucovanie uznávania takýchto sobášov by spôsobovalo v nich vážne politické turbulencie. 	Nevieme / nemáme jednoznačný názor	Táto otázka je na dlhšiu diskusiu. 	Nie		Nie		Nie	Bol by to len ďalší plazivý krok k federalizácii EÚ.	Nie	Európu by takéto referendá len rozdeľovali. EÚ je odkázaná na dohody a kompromisy.	Nevieme / nemáme jednoznačný názor	Ale neprotestovali by sme, keby bol zrušený. 	Áno	Áno, ale nemalo by to byť určené centrálne z Bruselu. Malá by to byť konkurenčná výhoda danej spoločnosti. 	Áno		Áno		Nie		Áno	Ale musela by sa vyriešiť otázka distribuovanie a výnosu cestnej dane. 	Áno		Nevieme / nemáme jednoznačný názor	Otázka by si vyžadovala upresnenie, čo presne ňou máte na mysli. 	Áno		Nie		Áno		Nie		Áno		Nie		Áno		Nie		Nie		Aliancia liberálov a demokratov za Európu (ALDE)	
5/7/2014 22:45:54	Strana Madarskej Komunity	551073	Gabor Klenovics	Áno		Áno		Áno		Áno	Stratime vsak tym konkurencieschopnost na globalnom trhu.	Nie		Nie		Nie		Nie		Nie		Nie		Nie		Nie		Áno		Áno		Áno		Nie		Áno		Nie		Áno		Áno		Nie		Nie		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Nie		Nevieme / nemáme jednoznačný názor		Áno	Ano, ale nasi polnohospodari by mali mat rovnake sance, ako polnohospodari zo straych CK. 	Nie		Áno		Nie		Nie		Nie		Nie		Európska ľudová strana (EPP)	
5/7/2014 22:48:33	Strana maďarskej komunity - Magyar Közösség Pártja	551073	Gergely Agócs	Áno		Áno		Áno		Áno		Nie		Nie		Nie		Áno		Áno		Nie		Áno		Nie		Nie		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Nie		Áno		Nie		Nie		Nie		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Áno		Nevieme / nemáme jednoznačný názor		Nie		Nie		Nevieme / nemáme jednoznačný názor		Nie		Nie		Nevieme / nemáme jednoznačný názor		Nie		Nie		Európska ľudová strana (EPP)	
5/8/2014 2:51:43	PRÁVO A SPRAVODLIVOSŤ	587268	Peter Puškár	Nie		Áno	Mala by sa zaviesť ak má EU fungovať rovnaká minimálna mzda vo všetkých krajinách nakoľko ceny všetkého sú skoro rovnaké dokonca by som povedal, že na Slovensku je vela vecí drahšia ako v štátoch kde majú omnoho vyššiu minimálnu mzdu. *Zase nadruhej strane minimálna mzda deformuje pracovný trh a preto by som navrhol ju za určitých okolností zrušiť keď sa má správať trhovo avšak aj to má svoje úskalia. Asi by bolo správne pristupovať k tomu sektorovo.	Áno	EU v takom stave ako je teraz nevydrží, buď je potrebné viac posilniť národné parlamenty alebo posilniť orgány EU ale tento mačkopes nemôže dlho vydržať.	Áno	A hlavne začať využívať iné zdroje energií ktoré nezaťažujú životné prostredie, keďže technológie sú je to len otázka politikov prečo sa nevyužívajú, alebo skôr prečo sa boja lobistov v takejto závažnej oblasti?	Áno	Určite by sa nemala dotovať buď je efektívna a nepotrebuje dotácie alebo keď nie je nie je dôvod ju dotovať	Áno	Akurát zmeniť v tejto oblasti právo	Áno	VYbrať podľa potreby obyvateľov a podla toho flexibilne upravovať	Nie		Nie	ale súťaživosť medzi krajinami je zase v rozpore s myšlienkami jendotnej EU, štáty by nemali súťažiť ale kooperovať	Nie		Nie	možno potom prestanú vyvážať vyspelejšie krajiny "odpad" ku nám a nájdu sa nové trhy	Nie		Áno		Nie	ak by bola takato možnost nastolillo by to iba špekulácie a boj o moc ešte aj v tomto a obchodovanie na tejto politickej scene	Nevieme / nemáme jednoznačný názor	záleží v čom neda sa to jednoznačne posúdiť	Nie		Nie		Nie	Rozdielne kulturno historicke pozadie v jendotlivých krajinách momentálne nie je tak unifikovane a kedze je to dost citliva tema je potrebne aby sa k nej dopracoval každý národ samostatne čo sa v podstate aj deje	Áno		Nie		Nevieme / nemáme jednoznačný názor	Určite by sa malo niečo zmeniť lebo tento stav prechodný dlho nevydrží	Nie	pretože malé krajiny by boli úplne vylúčené z procesu rozhodovania	Áno		Áno		Áno		Áno		Áno		Áno		Áno	toto je jedna z tých vecí ktore su  vprospech občanov a neriešia sa rovnako ako roaming	Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno	Rozhodne by polícia v SR mala mať nejakú Eur´psku kontrolu pretože inak to je strašné aj keď o tom bežne občania nevedia	Nie		Áno	Ale malo by to byť recipročné a teda aj EU by mala mať možnosť zbierať a uchovávať tieto údaje	Áno	aj tak sa to v nekomerčnom prostredí nedodržiava	Nie		Áno		Nie	MAla by mať možnosť využívať obidve meny	Nie		Iná odpoveď	Do úvahy prichádza viac alternatív, NI, ALDE, EFD Greens
5/8/2014 12:51:45	7 Statočných regionálna strana Slovenska	854501	Rastislav Blaško	Áno		Áno		Áno		Áno		Nie		Nie		Nie		Nie		Nie		Nie		Áno		Nie		Nie		Áno		Nie		Nie		Nie		Nie		Nie		Nie		Nie		Áno		Áno		Nie		Áno		Áno		Áno		Nie		Áno		Nie		Nie		Áno		Nie		Áno		Nie		Nevieme / nemáme jednoznačný názor		Áno		Áno		Nevieme / nemáme jednoznačný názor		Nevieme / nemáme jednoznačný názor		Nezaradení (NI)	Budeme rokovať o založenie novej skupiny poslancov v EP v prípade záujmu.
5/9/2014 11:40:24	Strana maďarskej komunity - Magyar Közösség Pártja	551073	Dávid Nagy	Áno		Áno		Nie		Áno		Áno		Nie		Nie		Nie		Áno		Nie		Nie		Áno		Nie		Áno		Nie		Nie		Nie		Nie		Nie		Nie		Nie		Nie		Áno		Nie		Áno		Nie		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Áno		Áno		Nie		Nie		Nie		Áno		Nie		Áno		Nie		Nie		Európska ľudová strana (EPP)	
5/10/2014 12:05:45	SDKÚ-DS	SDKÚ-DS	Eduard Kukan 	Áno		Nie		Áno	Ano, ale po konzultacii s Komisiou a dopadovej studii zohladnujucej princip subsidiarity. 	Nie	EU by sa mala snazit predovsetkym naplnit sucasne ciele pri regulacii CO2. 	Nie		Nie		Áno	Iba v pripadoch, ze tieto splnaju EU standardy. 	Áno		Nie		Nie		Nie		Nie		Nie		Áno		Áno		Nie	Sucastne prostriedky vynakladane na rozvojovu pomoc EU su dostatocne,mali by byt vsak lepsie vyuzivane a kontrolovane. 	Nie		Nie		Áno		Nie		Nie		Nie		Áno		Áno		Áno		Áno		Áno		Nie		Áno		Áno		Áno		Áno		Nie		Áno		Nie	Mal by vsak existtovat spolocny system zdielania dat, ktory by zodpovedal Europskej legislative o ochrane osobnych udajov. 	Áno		Nie		Nie		Nie		Nie		Európska ľudová strana (EPP)	
5/12/2014 9:41:24	Smer - sociálna demokracia	550466	Monika Flašíková Beňová	Áno		Áno		Áno		Áno		Nie		Nevieme / nemáme jednoznačný názor		Nie		Nevieme / nemáme jednoznačný názor		Áno		Nie		Nie		Áno		Nie		Áno		Áno		Nie		Áno		Áno		Áno		Áno		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Áno		Nie		Áno		Nie		Nie		Nevieme / nemáme jednoznačný názor		Nie		Áno		Nie		Nie		Nie		Nie		Progresívna aliancia socialistov a demokratov (S&D / PES)	
5/12/2014 20:51:09	KDH	527221	Mikokášik Miroslav	Áno		Áno		Áno		Áno		Nie		Nie		Nie		Nie		Nie		Nie		Áno	Staviam sa proti prijímaniu krajín, ktoré nespĺňajú predvstupné hospodárske, sociálne a predovšetkým ľudskoprávne požiadavky. 	Áno		Nie		Nie		Nie		Nie		Nie		Nie	Suverenita členských štátov v tejto oblasti musí byť prísne rešpektovaná, pretože rodinné právo patrí medzi právomoci členských štátov.	Nie	Považujem však za v hodné v zájme bezpečnosti stanoviť určité minimálne požiadavky pre udelenie azylu.	Nie		Nie		Nie		Nie		Nevieme / nemáme jednoznačný názor		Áno		Áno		Áno		Nie		Áno		Áno	Áno, pokiaľ bude spĺňať striktné požiadavky vyplývajúce z práva EÚ a zaručí dobré fungovanie vnútorného trhu a vysokú kvalitu tovarov a služieb na ňom. 	Nie		Nie		Nie		Nie		Nie		Nie		Nie	Sloboda pohybu pracovníkov patrí medzi hlavné piliere vnútorného trhu EÚ. 	Nie		Nie		Nie		Európska ľudová strana (EPP)	